name,price,category_id
Product 1,87.46,2
Product 2,15.98,2
Product 3,475.86,2
Product 4,425.09,2
Product 5,348.7,2
Product 6,141.83,2
Product 7,162.88,1
Product 8,346.17,1
Product 9,68.63,2
Product 10,63.97,2
Product 11,148.88,2
Product 12,390.54,2
Product 13,21.38,2
Product 14,470.14,2
Product 15,100.52,1
Product 16,325.69,1
Product 17,117.84,1
Product 18,168.76,1
Product 19,96.65,1
Product 20,321.38,2
Product 21,31.8,2
Product 22,55.94,1
Product 23,37.47,1
Product 24,19.81,1
Product 25,40.6,1
Product 26,198.63,2
Product 27,458.21,1
Product 28,279.01,1
Product 29,198.81,1
Product 30,462.18,2
Product 31,62.19,1
Product 32,344.14,2
Product 33,96.02,2
Product 34,215.4,1
Product 35,49.1,1
Product 36,409.33,1
Product 37,277.71,2
Product 38,247.63,1
Product 39,366.27,1
Product 40,320.59,2
Product 41,10.44,2
Product 42,37.9,1
Product 43,66.21,1
Product 44,489.17,2
Product 45,113.11,2
Product 46,286.65,2
Product 47,132.17,2
Product 48,403.53,1
Product 49,285.65,2
Product 50,491.33,2
Product 51,447.12,2
Product 52,11.93,2
Product 53,218.67,1
Product 54,23.0,2
Product 55,181.26,1
Product 56,112.23,1
Product 57,280.67,1
Product 58,365.13,1
Product 59,108.2,1
Product 60,31.91,1
Product 61,142.04,1
Product 62,69.58,2
Product 63,63.91,2
Product 64,21.86,2
Product 65,326.99,2
Product 66,362.34,1
Product 67,318.63,2
Product 68,244.63,1
Product 69,9.62,2
Product 70,265.3,2
Product 71,160.78,1
Product 72,178.51,1
Product 73,458.38,2
Product 74,118.47,1
Product 75,152.6,2
Product 76,381.08,2
Product 77,423.38,2
Product 78,114.39,2
Product 79,104.94,1
Product 80,228.85,1
Product 81,345.31,2
Product 82,90.53,2
Product 83,458.42,1
Product 84,450.63,1
Product 85,452.74,1
Product 86,303.71,1
Product 87,390.86,1
Product 88,170.8,2
Product 89,95.26,2
Product 90,229.32,2
Product 91,375.56,2
Product 92,20.64,1
Product 93,113.76,2
Product 94,41.16,2
Product 95,265.74,1
Product 96,446.85,1
Product 97,47.17,1
Product 98,348.82,1
Product 99,352.7,2
Product 100,162.96,1
Product 101,412.95,1
Product 102,41.06,2
Product 103,198.79,2
Product 104,400.25,1
Product 105,201.19,1
Product 106,437.69,2
Product 107,20.35,1
Product 108,444.65,2
Product 109,74.19,2
Product 110,326.44,1
Product 111,433.07,1
Product 112,57.69,1
Product 113,168.29,2
Product 114,112.36,2
Product 115,231.26,2
Product 116,42.34,1
Product 117,269.22,2
Product 118,489.17,2
Product 119,373.51,1
Product 120,379.58,2
Product 121,199.8,2
Product 122,406.74,1
Product 123,432.67,2
Product 124,264.68,1
